Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
"A","Acessórios",5553422,"PB010","Talco Comestível You and Me - Guaraná c/ Açaí",50,"Talco Comestível You and Me - Guaraná c/ Açaí 

Fabricante: Pepper Blend","Talco Comestível You and Me - Guaraná c/ Açaí 

O You and Me é um talco comestível corporal sabor Açaí com Guaraná da Pepper Blend. É afrodisíaco e pode ser degustado, vai deixar o toque mais suave trazendo para a massagem sensual muito prazer, desfrute de uma sensação única nos seus momentos íntimos.

Informações do Produto: Contém: 25g.","",False,2,0,True,0,9.9,20,0,0,0,,,False,False,"PB010.jpg","PB010.jpg","PB010.jpg","","","","","","","",0,,1098,"",,0,0,,"","",0,0,,True,False,0,0,0,"","","","talco-comestivel-you-and-me---guarana-c--acai-22604007","","",""
"A","Algemas",5289496,"HZ327BZ","Algema de Metal Bronze",300,"Algema de Metal Bronze

Fabricante: Hot Flowers","Algema de Metal Bronze

Ponha sua imaginação para funcionar com este divertido brinquedinho.

Quem gosta de Sadomasoquismo, não pode deixar de ter sua algema.

Feita em metal. 
Durabilidade e qualidade.","",False,3,0,True,0,16,79.7,51,0,0,16/09/2016,31/12/2017,False,False,"HZ327BZ.jpg","HZ327BZ.jpg","HZ327BZ.jpg","","","","","","","",0,,1083,"",,0,0,,"","",0,0,,True,False,0,0,0,"","","Algema de Metal Bronze","algema-de-metal-bronze","5289499,5289500,5289505","Algema de Metal Bronze

Fabricante: Hot Flowers",""
"A","Algemas",5289492,"LS032","Algema de Metal com Pelúcia Preta",300,"Algemas em metal com pelúcia - cor preta","ALGEMA DE METAL COM PELÚCIA REVESTIDA COM PELÚCIA E COM CHAVES - Ref: LS032

Una os punhos com essa algema em metal revestida com pelúcia macia. Não se preocupe: em caso de perda das chaves, as barras antipânico permitem o destravamento seguro. ""A DOMINAÇÃO E A ENTREGA EM UM UNIVERSO DE FANTASIA E EROTISMO!""

A Linha FETICHE PLAYGIRL tem mais de 60 opções diferentes para inovar sua relação. Máscaras, vendas, bondage, algemas, chibatas e chicotes criam um clima mais quente para seus jogos sensuais. Realce seus instintos. Descubra a cumplicidade na ação de dominar ou se entregar às novas possibilidades de prazer. Contém: Um par de algemas de metal com pelúcia.

Composição: Pelúcia (100% poliéster) / Zamak.

Conservação e lavagem: Limpar com pano úmido. Secar à sombra.

Tamanho: Único.

PRODUTO PARA MAIORES DE 18 ANOS
","",False,1,0,True,0,24.64,51.74,0,0,0,,,False,True,"LS032.jpg","LS032.jpg","LS032.jpg","","","","","","","",0,,1083,"",,0,0,,"","",0,0,,True,False,0,0,0,"lk5Ow0YuNz8","","Algema de Metal com Pelúcia Preta","algema-de-metal-com-pelucia-preta","","Algemas em metal com pelúcia - cor preta",""
"A","Algemas",5289494,"LS059","Algema de Metal com Pelúcia Rosa",0,"Algemas em metal com pelúcia - cor rosa","ALGEMA DE METAL COM PELÚCIA REVESTIDA COM PELÚCIA E COM CHAVES - Ref: LS059

Una os punhos com essa algema em metal revestida com pelúcia macia. Não se preocupe: em caso de perda das chaves, as barras antipânico permitem o destravamento seguro.

""A DOMINAÇÃO E A ENTREGA EM UM UNIVERSO DE FANTASIA E EROTISMO!""

A Linha FETICHE PLAYGIRL tem mais de 60 opções diferentes para inovar sua relação. Máscaras, vendas, bondage, algemas, chibatas e chicotes criam um clima mais quente para seus jogos sensuais. Realce seus instintos. Descubra a cumplicidade na ação de dominar ou se entregar às novas possibilidades de prazer.

Contém: Um par de algemas de metal com pelúcia.

Composição: Pelúcia (100% poliéster) / Zamak.

Conservação e lavagem: Limpar com pano úmido. Secar à sombra.

Tamanho: Único.

PRODUTO PARA MAIORES DE 18 ANOS
","",False,0,0,False,0,24.64,51.74,0,0,0,,,False,False,"LS059.jpg","LS059.jpg","LS059.jpg","","","","","","","",0,,1083,"",,0,0,,"","",0,0,,True,False,0,0,0,"lk5Ow0YuNz8","","","","","",""
"A","Algemas",5289493,"LS058","Algema de Metal com Pelúcia Vermelha",0,"Algemas em metal com pelúcia - cor vermelha","ALGEMA DE METAL COM PELÚCIA REVESTIDA COM PELÚCIA E COM CHAVES - Ref: LS058

Una os punhos com essa algema em metal revestida com pelúcia macia. Não se preocupe: em caso de perda das chaves, as barras antipânico permitem o destravamento seguro.

""A DOMINAÇÃO E A ENTREGA EM UM UNIVERSO DE FANTASIA E EROTISMO!""

A Linha FETICHE PLAYGIRL tem mais de 60 opções diferentes para inovar sua relação. Máscaras, vendas, bondage, algemas, chibatas e chicotes criam um clima mais quente para seus jogos sensuais. Realce seus instintos. Descubra a cumplicidade na ação de dominar ou se entregar às novas possibilidades de prazer.

Contém: Um par de algemas de metal com pelúcia.

Composição: Pelúcia (100% poliéster) / Zamak.

Conservação e lavagem: Limpar com pano úmido. Secar à sombra.

Tamanho: Único.

PRODUTO PARA MAIORES DE 18 ANOS
","",False,0,0,False,0,24.64,51.74,0,0,0,,,False,False,"LS058.jpg","LS058.jpg","LS058.jpg","","","","","","","",0,,1083,"",,0,0,,"","",0,0,,True,False,0,0,0,"lk5Ow0YuNz8","","","","","",""
"A","Algemas",5289495,"LS023","Algema de Metal Niquelada",0,"Algemas em metal - niquelada","ALGEMAS EM METAL COLORIDAS E COM CHAVES - Ref: LS023

Una os punhos com essa algema em metal e tenha a fantasia real de prender o bandido! Não se preocupe: em caso de perda das chaves, as barras antipânico permitem o destravamento seguro. ""A DOMINAÇÃO E A ENTREGA EM UM UNIVERSO DE FANTASIA E EROTISMO!""

A Linha FETICHE PLAYGIRL tem mais de 60 opções diferentes para inovar sua relação. Máscaras, vendas, bondage, algemas, chibatas e chicotes criam um clima mais quente para seus jogos sensuais. Realce seus instintos. Descubra a cumplicidade na ação de dominar ou se entregar às novas possibilidades de prazer. Contém: Um par de algemas.

Composição: Zamak.

Conservação e lavagem: Limpar com pano úmido.

Tamanho: Único.

PRODUTO PARA MAIORES DE 18 ANOS
","",False,0,0,False,0,22.29,46.81,0,0,0,,,False,False,"LS023.jpg","LS023.jpg","LS023.jpg","","","","","","","",0,,1083,"",,0,0,,"","",0,0,,True,False,0,0,0,"lk5Ow0YuNz8","","","","","",""
"A","Algemas",5289497,"HZ327PR","Algema de Metal Prata",300,"Algema de Metal Prata","Algema de Metal Prata","",False,3,0,True,0,34.5,79.7,51,0,0,31/10/2016,31/12/2017,False,False,"HZ327PR.jpg","HZ327PR.jpg","HZ327PR.jpg","","","","","","","",0,,1083,"",,0,0,,"","",0,0,,True,False,0,0,0,"","","Algema de Metal Prata","algema-de-metal-prata","","Algema de Metal Prata",""
"A","Algemas",5289489,"LS006","Algema de Pelúcia",300,"Algema de pelúcia  fechadas com velcro - cor preto","LGEMAS DE PELÚCIA FECHADAS COM VELCRO - Ref: LS006

Una os punhos com essas algemas em p elúcia ma cia e felpuda ligadas por um lindo mosquetão e dois anéis de metal. O fecho em velcr o, além de regular o diâmetro do punho, é ideal para o fetiche de prender de mentirinha. ""A DOMINAÇÃO E A ENTREGA EM UM UNIVERSO DE FANTASIA E EROTISMO!""

A Linha FETICHE PLAYGIRL tem mais de 60 opções diferentes para inovar sua relação. Máscaras, vendas, bondage, algemas, chibatas e chicotes criam um clima mais quente para seus jogos sensuais. Realce seus instintos. Descubra a cumplicidade na ação de dominar ou se entregar às novas possibilidades de prazer. Contém: Um par de algemas de pelúcia.

Composição: Pelúcia (100% poliéster) / Metal.

Conservação e lavagem: Limpar com pano úmido. Secar à sombra.

Tamanho: Único.

PRODUTO PARA MAIORES DE 18 ANOS
","",False,1,0,True,0,20.83,43.74,0,0,0,,,False,False,"LS006.jpg","LS006.jpg","LS006.jpg","","","","","","","",0,,1083,"",,0,0,,"","",0,0,,True,False,0,0,0,"lk5Ow0YuNz8","","Algema de Pelúcia","algema-de-pelucia","","Algema de pelúcia  fechadas com velcro - cor preto",""
"A","Algemas",5289490,"LS052","Algema de Pelúcia",0,"Algema de pelúcia  fechadas com velcro  - cor vermelha","ALGEMAS DE PELÚCIA FECHADAS COM VELCRO - Ref: LS052

Una os punhos com essas algemas em p elúcia ma cia e felpuda ligadas por um lindo mosquetão e dois anéis de metal. O fecho em velcr o, além de regular o diâmetro do punho, é ideal para o fetiche de prender de mentirinha. ""A DOMINAÇÃO E A ENTREGA EM UM UNIVERSO DE FANTASIA E EROTISMO!""

A Linha FETICHE PLAYGIRL tem mais de 60 opções diferentes para inovar sua relação. Máscaras, vendas, bondage, algemas, chibatas e chicotes criam um clima mais quente para seus jogos sensuais. Realce seus instintos. Descubra a cumplicidade na ação de dominar ou se entregar às novas possibilidades de prazer. Contém: Um par de algemas de pelúcia.

Composição: Pelúcia (100% poliéster) / Metal.

Conservação e lavagem: Limpar com pano úmido. Secar à sombra.

Tamanho: Único.

PRODUTO PARA MAIORES DE 18 ANOS
","",False,0,0,False,0,20.83,43.74,0,0,0,,,False,False,"LS052.jpg","LS052.jpg","LS052.jpg","","","","","","","",0,,1083,"",,0,0,,"","",0,0,,True,False,0,0,0,"lk5Ow0YuNz9","","","","","",""
"A","Algemas",5289491,"LS053","Algema de Pelúcia",0,"Algema de pelúcia  fechadas com velcro  - cor rosa","ALGEMAS DE PELÚCIA FECHADAS COM VELCRO - Ref: LS053

Una os punhos com essas algemas em p elúcia ma cia e felpuda ligadas por um lindo mosquetão e dois anéis de metal. O fecho em velcr o, além de regular o diâmetro do punho, é ideal para o fetiche de prender de mentirinha. ""A DOMINAÇÃO E A ENTREGA EM UM UNIVERSO DE FANTASIA E EROTISMO!""

A Linha FETICHE PLAYGIRL tem mais de 60 opções diferentes para inovar sua relação. Máscaras, vendas, bondage, algemas, chibatas e chicotes criam um clima mais quente para seus jogos sensuais. Realce seus instintos. Descubra a cumplicidade na ação de dominar ou se entregar às novas possibilidades de prazer. Contém: Um par de algemas de pelúcia.

Composição: Pelúcia (100% poliéster) / Metal.

Conservação e lavagem: Limpar com pano úmido. Secar à sombra.

Tamanho: Único.

PRODUTO PARA MAIORES DE 18 ANOS
","",False,0,0,False,0,20.83,43.74,0,0,0,,,False,False,"LS053.jpg","LS053.jpg","LS053.jpg","","","","","","","",0,,1083,"",,0,0,,"","",0,0,,True,False,0,0,0,"","","","","","",""
